# P.J. Flower, A&A 1977
B-V	MK	Teff	logTeff	BC
-0.33	O8	36250	4.559	-3.50
-0.31	O9.5	32750	4.515	-3.25
-0.30		31130	4.493	-3.12
-0.29	B0	29590	4.471	-2.99
-0.28		28127	4.449	-2.87
-0.26	B0.5	25412	4.405	-2.60
-0.25		24155	4.383	-2.48
-0.23	B1.5	21825	4.339	-2.22
-0.21		19715	4.295	-1.97
-0.20	B3	18740	4.273	-1.84
-0.18	B4	16930	4.229	-1.58
-0.17		16095	4.207	-1.46
-0.16	B5	15300	4.185	-1.34
-0.12		12490	4.096	-1.07
-0.11	B8	12200	4.086	-0.72
-0.08	B9	11200	4.049	-0.46
-0.05	B9.5	10545	4.023	-0.32
-0.025		10000	4.000	-0.24
0.00	A0	9570	3.981	-0.18
0.05	A2	8995	3.954	-0.09
0.07	A3	8790	3.944	-0.06
0.14	A5	8200	3.914	-0.02
0.20	A7	7800	3.892	 0.00
0.33	F1	7000	3.845	 0.01
0.43	F4	6500	3.813	-0.01
